,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
22944,4,2.5,10,9737.0,31,0.0,0.0,1,1,3884,4
25713,4,3.0,10,9000.0,30,0.0,0.0,1,1,3529,4
25797,4,2.5,10,8983.0,31,0.0,0.0,1,1,2654,4
26489,4,3.0,10,8809.0,30,0.0,0.0,1,1,3715,4
26943,4,2.0,10,8706.0,30,0.0,0.0,1,1,3022,4
27607,4,3.0,10,8550.0,31,0.0,0.0,1,1,3529,4
28278,4,3.0,11,8400.0,30,0.0,0.0,1,1,3966,4
28441,4,2.5,10,8365.0,31,0.0,0.0,1,1,3884,4
28667,4,2.0,10,8309.0,31,0.0,0.0,1,1,3374,4
28845,4,3.0,10,8269.0,31,0.0,0.0,1,1,2606,4
29041,4,2.5,12,8229.0,31,0.0,0.0,1,1,3246,4
29048,4,3.0,10,8228.0,31,0.0,0.0,1,1,2719,4
29139,4,3.0,10,8204.0,30,0.0,0.0,1,1,2981,4
29527,4,2.5,8,8118.0,31,0.0,0.0,1,1,2692,4
29617,4,3.0,10,8100.0,31,0.0,0.0,1,1,2719,4
29634,4,2.0,10,8098.0,31,0.0,0.0,1,1,3022,4
29679,4,3.0,10,8088.0,31,0.0,0.0,1,1,3715,4
29686,4,2.5,12,8086.0,31,0.0,0.0,1,1,2537,4
29800,4,3.0,10,8069.0,31,0.0,0.0,1,1,2606,4
29851,4,2.5,12,8058.0,31,0.0,0.0,1,1,2537,4
29857,4,2.5,10,8056.0,30,0.0,0.0,1,1,2654,4
30077,4,2.5,11,8013.0,30,0.0,0.0,1,1,5204,4
30143,4,3.0,11,8000.0,30,0.0,0.0,1,1,3966,4
30176,4,3.0,10,7990.0,31,0.0,0.0,1,1,2606,4
30296,4,2.5,12,7966.0,31,0.0,0.0,1,1,3963,4
30573,4,3.0,10,7900.0,31,0.0,0.0,1,1,3303,4
30584,4,2.5,12,7898.0,30,0.0,0.0,1,1,2537,4
31064,4,2.0,9,7799.0,30,0.0,0.0,1,1,4493,4
31286,4,2.0,9,7757.0,31,0.0,0.0,1,1,3201,4
31531,4,2.0,9,7710.0,30,0.0,0.0,1,1,2941,4
31599,4,3.0,10,7700.0,30,0.0,0.0,1,1,3715,4
31636,4,2.0,9,7691.0,31,0.0,0.0,1,1,4307,4
31656,4,3.0,10,7688.0,31,0.0,0.0,1,1,2606,4
31759,4,2.0,9,7668.0,30,0.0,0.0,1,1,2989,4
31823,4,2.0,10,7651.0,28,0.0,0.0,1,1,2979,4
32039,4,3.0,10,7612.0,31,0.0,0.0,1,1,2981,4
