,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
1,5,3.5,14,9417.0,31,1.0,0.0,0,1,1037,-1
2,4,3.0,10,9017.0,31,1.0,0.0,1,1,679,-1
3,3,2.5,6,8100.0,29,1.0,0.0,2,0,405,-1
6,4,3.0,12,16643.0,31,0.0,0.0,1,1,156,-1
8,5,3.0,15,15615.0,29,1.0,0.0,0,2,496,-1
9,3,3.0,10,15159.0,31,1.0,0.0,0,2,1695,-1
10,4,3.0,14,14912.0,31,1.0,0.0,1,1,985,-1
11,5,4.0,15,14686.0,31,0.0,0.0,0,0,1437,-1
13,5,4.0,14,14448.0,30,0.0,0.0,1,1,1575,-1
15,3,2.0,10,13105.0,31,0.0,0.0,1,2,626,-1
16,4,2.0,11,12464.0,29,1.0,0.0,1,1,1069,-1
17,4,3.0,12,12320.0,31,1.0,0.0,1,1,732,-1
18,4,4.5,15,12058.0,29,1.0,0.0,1,2,1503,-1
19,5,4.0,15,11617.0,31,1.0,0.0,1,1,97,-1
20,4,2.5,11,11576.0,31,0.0,0.0,1,1,595,-1
21,4,2.0,12,11321.0,31,0.0,0.0,0,2,718,-1
23,4,3.0,11,11032.0,31,1.0,0.0,1,2,1271,-1
24,5,3.0,9,11029.0,31,1.0,0.0,1,1,1018,-1
25,3,2.0,9,10906.0,31,1.0,0.0,0,0,1948,-1
26,4,2.0,11,10491.0,31,0.0,0.0,0,0,779,-1
27,5,3.5,15,10368.0,29,1.0,0.0,1,0,653,-1
28,3,3.5,12,10317.0,31,0.0,0.0,1,1,1632,-1
30,3,2.0,8,10220.0,31,1.0,0.0,3,2,719,-1
31,3,2.0,13,10110.0,31,0.0,0.0,1,1,520,-1
3341,4,4.0,8,27548.0,28,1.0,0.0,2,0,630,-1
3342,4,4.0,15,27546.0,31,0.0,0.0,1,1,3579,-1
3343,4,3.0,15,27541.0,28,0.0,0.0,1,1,3258,-1
3345,5,3.0,14,27533.0,31,0.0,0.0,2,0,3431,-1
3346,3,2.0,6,27515.0,31,0.0,0.0,2,1,2924,-1
3347,5,2.0,10,27500.0,31,0.0,0.0,2,1,425,-1
3348,5,4.5,14,27500.0,31,1.0,0.0,1,2,437,-1
3351,4,4.5,14,27485.0,31,0.0,0.0,1,1,5675,-1
3352,4,3.0,13,27483.0,31,1.0,0.0,1,1,853,-1
3353,5,4.0,12,27483.0,31,0.0,0.0,0,2,3223,-1
3354,3,2.5,8,27482.0,31,0.0,0.0,3,2,3114,-1
3355,3,2.5,7,27480.0,30,1.0,0.0,1,1,710,-1
3356,4,4.5,15,27480.0,31,0.0,0.0,0,0,3520,-1
3357,4,3.0,12,27479.0,31,0.0,0.0,1,1,3568,-1
3358,4,3.0,12,27472.0,31,0.0,0.0,0,2,3323,-1
3359,5,4.5,13,27471.0,31,0.0,0.0,1,1,3811,-1
3360,4,3.0,13,27470.0,31,1.0,0.0,1,1,1690,-1
3361,3,2.0,7,27470.0,31,0.0,0.0,3,2,1851,-1
3362,4,3.5,10,27466.0,31,0.0,0.0,0,2,4923,-1
3364,4,3.0,13,27465.0,28,1.0,0.0,1,1,1690,-1
3365,5,4.0,15,27463.0,31,0.0,0.0,1,1,1963,-1
3366,4,4.5,12,27448.0,31,0.0,0.0,1,1,2222,-1
3367,3,2.5,8,27447.0,31,0.0,0.0,3,2,3114,-1
3368,5,4.5,15,27445.0,31,1.0,0.0,1,0,1499,-1
3369,4,2.0,10,27439.0,28,0.0,0.0,1,1,962,-1
3371,5,4.0,15,27437.0,31,0.0,0.0,1,1,2937,-1
3372,3,2.0,6,27434.0,30,0.0,0.0,2,1,2951,-1
3373,3,3.0,8,27432.0,31,0.0,0.0,2,1,3554,-1
3374,4,3.0,13,27417.0,31,0.0,0.0,1,1,2973,-1
3375,5,2.0,15,27415.0,22,0.0,0.0,1,1,2998,-1
3376,4,3.0,15,27410.0,31,0.0,0.0,0,1,3315,-1
3377,4,3.0,12,27408.0,31,0.0,0.0,1,1,3056,-1
3381,4,3.0,13,27383.0,31,1.0,0.0,1,1,1690,-1
3382,3,2.0,8,27371.0,31,1.0,0.0,1,1,1691,-1
3383,3,4.0,8,27352.0,30,0.0,0.0,3,1,4789,-1
3387,4,3.0,10,27338.0,31,0.0,0.0,0,1,3390,-1
3388,4,2.5,8,27337.0,31,1.0,0.0,1,2,1805,-1
3389,4,4.0,10,27335.0,31,0.0,0.0,1,1,3004,-1
3390,4,2.0,11,27333.0,31,1.0,0.0,1,1,1069,-1
3391,4,2.5,10,27320.0,31,0.0,0.0,1,1,2654,-1
3392,5,3.5,12,27319.0,31,0.0,0.0,0,0,3905,-1
3395,4,3.0,10,27300.0,31,0.0,0.0,1,2,3231,-1
3396,3,4.0,12,27300.0,28,0.0,0.0,2,1,4467,-1
3397,4,2.5,14,27288.0,31,0.0,0.0,1,1,3722,-1
3399,4,3.0,13,27280.0,31,1.0,0.0,1,1,2033,-1
3400,4,3.5,10,27279.0,31,0.0,0.0,1,1,4272,-1
3401,4,3.0,10,27275.0,31,1.0,0.0,1,0,1325,-1
3402,4,3.0,10,27274.0,29,0.0,0.0,1,0,3358,-1
3403,5,3.5,12,27270.0,30,0.0,0.0,0,0,3905,-1
3405,3,3.0,8,27267.0,30,0.0,0.0,2,1,3554,-1
3406,3,2.0,6,27264.0,28,1.0,0.0,1,1,2401,-1
3407,3,2.0,8,27248.0,31,0.0,0.0,0,1,1763,-1
3409,4,3.0,12,27246.0,31,1.0,0.0,1,1,2486,-1
3410,4,3.0,8,27236.0,26,0.0,0.0,2,0,3617,-1
3411,3,2.5,13,27234.0,31,1.0,0.0,1,0,2455,-1
3412,3,3.5,6,27229.0,31,0.0,0.0,1,0,4353,-1
3413,5,3.5,14,27218.0,31,0.0,0.0,1,1,4771,-1
3414,5,3.0,15,27217.0,28,0.0,0.0,1,2,3677,-1
3415,4,4.0,12,27213.0,31,0.0,0.0,1,1,752,-1
3416,5,3.0,12,27210.0,31,0.0,0.0,1,2,5068,-1
3417,3,2.0,10,27208.0,30,0.0,0.0,0,1,3463,-1
3419,4,2.0,14,27193.0,31,0.0,0.0,1,1,3398,-1
3421,4,4.5,14,27189.0,31,1.0,0.0,0,1,2367,-1
3422,4,4.0,10,27185.0,24,0.0,0.0,1,0,5279,-1
3423,4,3.5,15,27182.0,31,1.0,0.0,1,0,1906,-1
3424,3,2.0,8,27178.0,31,1.0,0.0,1,1,488,-1
3425,4,3.0,13,27177.0,31,1.0,0.0,1,1,1444,-1
3426,5,3.5,11,27175.0,28,1.0,0.0,0,2,2566,-1
3427,4,3.5,12,27172.0,28,0.0,0.0,0,1,3065,-1
3428,5,4.0,15,27170.0,30,0.0,0.0,0,0,3911,-1
3429,3,1.0,5,27165.0,31,0.0,0.0,1,1,3881,-1
3430,5,3.5,15,27163.0,31,0.0,0.0,1,1,4081,-1
3431,4,3.0,8,27161.0,31,0.0,0.0,1,1,3096,-1
3432,3,2.0,9,27156.0,31,0.0,0.0,1,1,2515,-1
3433,3,2.0,10,27155.0,31,1.0,0.0,1,1,2524,-1
3434,5,4.0,15,27151.0,31,0.0,0.0,1,1,1963,-1
3435,5,4.5,15,27150.0,31,1.0,0.0,1,2,960,-1
3437,5,4.0,12,27150.0,28,0.0,0.0,1,1,4791,-1
3438,4,3.0,12,27125.0,31,1.0,0.0,1,1,2371,-1
3440,3,2.0,8,27111.0,31,1.0,0.0,1,1,2207,-1
3443,5,3.0,10,27100.0,31,0.0,0.0,3,1,4292,-1
3448,4,3.5,15,27066.0,30,0.0,0.0,3,0,3591,-1
3450,4,2.5,10,27065.0,31,0.0,0.0,1,1,2654,-1
3451,3,2.0,8,27062.0,31,0.0,0.0,1,1,3972,-1
3455,4,3.5,15,27050.0,31,0.0,0.0,1,0,2183,-1
3456,4,3.5,15,27050.0,31,0.0,0.0,1,0,3159,-1
3457,4,3.0,15,27050.0,31,0.0,0.0,0,1,3315,-1
3458,4,3.0,15,27048.0,31,0.0,0.0,1,1,3234,-1
3459,4,3.0,12,27045.0,31,1.0,0.0,1,1,1895,-1
3460,3,2.0,8,27045.0,31,0.0,0.0,0,1,4951,-1
3461,5,3.5,14,27041.0,30,0.0,0.0,1,1,4771,-1
3462,5,3.0,12,27034.0,30,0.0,0.0,2,1,3208,-1
3463,5,4.0,15,27033.0,31,0.0,0.0,1,1,1963,-1
3464,4,3.0,8,27031.0,31,0.0,0.0,3,0,2778,-1
3465,5,4.5,12,27031.0,18,0.0,0.0,0,1,5054,-1
3467,5,4.5,14,27020.0,31,1.0,0.0,1,2,437,-1
3468,5,3.0,14,27016.0,31,0.0,0.0,0,1,3573,-1
3469,3,2.0,8,27013.0,31,0.0,0.0,1,0,994,-1
3470,5,3.0,14,27007.0,31,0.0,0.0,2,0,3431,-1
3471,4,3.0,12,27006.0,31,0.0,0.0,1,1,3691,-1
3472,4,3.0,8,27004.0,31,0.0,0.0,3,0,2778,-1
3473,3,2.0,8,27000.0,31,0.0,0.0,2,1,1803,-1
3474,3,2.0,8,27000.0,31,0.0,0.0,2,1,1803,-1
3475,5,3.5,13,26994.0,31,0.0,0.0,1,1,3623,-1
3476,3,2.0,7,26992.0,31,0.0,0.0,0,1,3186,-1
3479,3,2.0,7,26984.0,31,1.0,0.0,1,1,2046,-1
3480,5,3.5,12,26979.0,31,0.0,0.0,0,0,5843,-1
3481,4,3.0,15,26978.0,31,0.0,0.0,1,1,3195,-1
3483,3,2.0,6,26974.0,31,0.0,0.0,2,1,2951,-1
3484,4,2.0,8,26973.0,31,0.0,0.0,0,1,4193,-1
3485,5,4.5,15,26971.0,31,1.0,0.0,1,1,2110,-1
3486,3,3.5,12,26970.0,30,0.0,0.0,1,0,2071,-1
3487,4,3.0,10,26961.0,31,0.0,0.0,1,1,2997,-1
3488,3,2.0,8,26959.0,31,0.0,0.0,1,2,2643,-1
3490,5,4.5,14,26950.0,31,1.0,0.0,1,2,437,-1
3491,3,2.0,6,26950.0,31,0.0,0.0,2,1,2947,-1
3492,4,3.0,13,26944.0,27,1.0,0.0,1,1,1444,-1
3493,4,3.0,13,26940.0,30,1.0,0.0,1,1,917,-1
